name,about,incentives,disciplines,academia,skills,strategy,child_paths,display_name
diesel service technicians and mechanics,"diesel service technicians and mechanics inspect, repair or overhaul buses and trucks, or maintain and repair any type of diesel engine",JOB,installation maintenance and repair,"high school diploma, on-the-job training","Customer-service, detail oriented, dexterity, mechanical, organizational, physical strength, troubleshooting","consult with customers, read work orders, and determine work required. Plan work procedures, using technical charts and manuals. Inspect brake systems, steering mechanisms, transmissions, engines and other parts of vehicles. Follow checklists to ensure that all critical parts are examined. Read and interpret diagnostic test results to identify mechanical problems.",,""
electrical and electronics installers and repairers,"electrical and electronics installers and repairers install or repair a variety of electrical equipment in telecommunications, transportation, utilities and other industries",JOB,installation maintenance and repair,"high school diploma, advanced education, work experience","color vision, communication, physical stamina, physical strength, technical, troubhleshooting","discuss problems and requirements with customers. Inspect and test equipment. Reproduce, isolate and diagnose problems. Disassemble equipment as necessary to access problematic components. Clean, repair and replace components.","commercial and industrial electrical and electronics equipment repairers. Electric motor, power tool and related repairers. Electrical and electronics installers and repairers of transported equipment. Electronic equipment installers and repairers of motor vehicles. Powerhouse, substation and relay electrical and electronics repairers.",""
general maintenance and repair workers,"general maintenance and repair workers fix and maintain machines, mechanical equipment and buildings. They paint, repair flooring, and work on plumbing, electrical and air-conditioning heating systems",JOB,installation maintenance and repair,"high school diploma, on-the-job training","Customer-service, dexterity, troubhleshooting","maintain and repair machines, mechanical equipment and buildings. Fix or replace faulty electrical switches, outlets and circuit breakers. Inspect and diagnose problems and figure out the best way to correct them. Perform routine preventive maintenance to ensure that machines  continue to run smoothly.",,""
"heating, air conditioning and refrigeration mechanics and installers","heating, air conditioning and refrigeration mechanics and installers work on heating, ventilation, cooling and refrigeration systems that control the temperature and air quality in buildings.",JOB,installation maintenance and repair,"postsecondary nondegree award, on-the-job training","Customer-service, detail oriented, math, mechanical, physical stamina, physical strength, time-management, troubhleshooting","install, clean and maintain HVACR systems. Install electrical components and wiring. Inspect and test HVACR systems and components. Discuss system malfunctions with customers. Repair or replace work or defective parts. Recommend maintenance to improve system performance.",,""
heavy vehicle and mobile equipment service technicians,"heavy vehicle and mobile equipment service technicians inspect, maintain and repair vehicles and machinery used in construction, farming, rail and transportation and other industries.",JOB,installation maintenance and repair,"high school diploma, on-the-job training","dexterity, mechanical, organizational, physical strength, troubleshooting","consult equipment operating manuals, blueprints and drawings. Perform scheduled maintenance. Diagnose and identify malfunctions using computerized tools and equipment. Inspect, repair and replace defective or worn parts. Overhaul and test major components. Disassemble and reassemble heavy equipment and components",farm equipment mechanics and service technicians. Mobile heavy equipment mechanics. Rail car repairers.,""
"industrial machinery mechanics, machinery maintenance workers, millwrights","industrial machinery mechanics and machinery maintenance workers maintain and repair factory equipment and other industrial machinery. Millwrights install, dismantle, repair, reassemble and move machinery in factories, power plants and construction sites.",JOB,installation maintenance and repair,high school diploma,"manual dexterity, mechanical, troubleshooting",read technical manuals to understand equipment and controls. Disassemble machinery and equipment when there is a problem. Repair or replace broken or malfunctioning components. Perform tests and run initial batches to make sure that the machine is running smoothly.,"industrial machinery mechanics, machinery maintenance workers, millwrights.",""
line installers and repairers,"line installers and repairers install or repair electrical power systems and telecommunication cables, including fiber optics",JOB,installation maintenance and repair,"high school diploma, on-the-job training","color vision, mechanical, physical stamina, physical strength, teamwork, technical, troubleshooting","install, maintain, or repair the power lines that move electricity. Identify defective devices, voltage regulators, transformers and switches. Inspect and test power lines and auxiliary equipment. String power lines between poles, towers and buildings. Climb poles and transmission towers and use truck-mounted buckets to get to equipment.","electrical power-line installers and repairers, telecommunications line installers and repairers, line installers, line repairers",""
medical equipment repairers,"medical equipment repairers install, maintain and repair patient care equipment",JOB,installation maintenance and repair,"associates degree, on-the-job training","communication, dexterity, mechanical, physical stamina, technical, time-management, troubleshooting",install medical equipment.  Test and calibrate parts and equipment. Repair and replace parts. Perform preventive maintenance and service. Keep records of maintenance and repairs. Review technical manuals and regularly attend training sessions.,,""
small engine mechanics,"small engine mechanics inspect, service and repair motorized power equipment. Mechanics often specialize in one type of equipment.",JOB,installation maintenance and repair,"high school diploma, postsecondary nondegree award, on-the-job training","Customer-service, detail oriented, dexterity, mechanical, organizational, troubleshooting","discuss equipment issues, maintenance plans and work performed with customers. Perform routine engine maintenance. Test and inspect engines for malfunctioning parts. Adjust components according to specifications.. repair or replace worn, defective or broken parts. Reassemble and reinstall components and engines following repairs.",motorboat mechanics and service technicians. Motorcycle mechanics. Outdoor power equipment and other small engine mechanics.,""
telecommunications equipment installers and repairers,telecommunications equipment installers and repairers setup and maintain devices or equipment that carry communications signals.,JOB,installation maintenance and repair,"postsecondary nondegree award, on-the-job training","color vision, customer-service, dexterity, mechanical, troubleshooting","install communications equipment in offices, private homes and buildings that are under construction. Set up, rearrange and replace routing and dialing equipment. Inspect and service equipment, wiring and phone jacks. Repair or replace faulty, damaged and malfunctioning equipment.",central office technicians. Headend technicians. Home installers and repairers.,""
wind turbine technicians,"wind turbine service technicians install, maintain and repair wind turbines",JOB,installation maintenance and repair,"postsecondary nondegree award, on-the-job training","communication, detail oriented, mechanical, physical stamina, physical strength, troubleshooting","inspect the exterior and physical integrity of wind turbine towers. Climb wind turbine towers to inspect or repair wind turbine equipment. Perform routine maintenance on wind turbines. Test and troubleshoot electrical, mechanical and hydraulic components and systems. Replace worn or malfunctioning components",,""
"arbitrators, mediators, conciliators","arbitrators, mediators and conciliators facilitate negotiation and dialogue between disputing parties to help resolve conflicts outside of the court system.",JOB,legal,"bachelors degree, less-than-5-years related occupation, on-the-job training","Critical-thinking, decisionmaking, interpersonal, listening, reading, writing","facilitate communication between disputants to guide parties toward mutual agreement. Clarify issues, concerns, needs and interests of all parties involved. Conduct initial meetings with disputants to outline the arbitration process. Settle procedural matters such as fees or determine details such as witness numbers and time requirements. Setup appointments for parties to meet for mediation or arbitration. Interview claimants, agents or witnesses to obtain information about disputed issues.","arbitrators, mediators, conciliators",""
court reporters,"court reporters create word-for-word transcriptions at trials, depositions, administrative hearings and other legal proceedings. Some court reporters provide captioning for television and real-time translation for deaf or hard-of-hearing people at public events, in business meetings and in classrooms",JOB,legal,postsecondary nondegree award,"concentration, detail oriented, listening, writing","attend depositions, hearings, proceedings and other events that require written transcripts. Capture spoken dialogue with specialized equipment, including stenography machines, video and audio recording devices and covered microphones","broadcast captioners, communication access real-time translation providers,",""
judges and hearing officers,"judges and hearing officers apply the law by overseeing the legal process in courts.. they also conduct pretrial hearings, resolve administrative disputes, facilitate negotiations between opposing parties and issue legal decisions",JOB,legal,"doctoral degree, professional degree","Critical-thinking, decisionmaking, listening, reading, writing","research legal issues. Read and evaluate information from documents. Preside over hearings and listen to and read arguments by opposing parties. Determine if the information presented supports the charge, claim or dispute. Decide if the procedure is being conducted according to the rules of law.","judges, Magistrate judges, Magistrates, Administrative law judges, Adjudicators, Hearing officers",""
lawyers,"lawyers advise and represent individuals, businesses and government agencies on legal issues and disputes",JOB,legal,"doctoral degree, professional degree","analytical, interpersonal, problem-solving, research, speaking, writing","advise and represent clients in courts, before government agencies and in private legal matters. Communicate with their clients, colleagues, judges and others involved in the case. Conduct research and analysis of legal problems. Interpret laws, rulings and regulars for individuals and businesses.","defense attorneys, prosecutors, corporate counsels, government counsels, public-interest lawyers, environmental lawyers, tax lawyers, intellectual property lawyers, family lawyers, securities lawyers",""
paralegals and legal assistants,"paralegals and legal assistants perform a variety of tasks to support lawyers, including maintaining and organizing files, conducting legal research and drafting documents.",JOB,legal,associates degree,"communication, computer, interpersonal, organizational, research","investigate and gather the facts of a case. Conduct research on relevant laws, regulations and legal articles. Organize and maintain documents in paper or electronic filing systems. Gather and arrange evidence and other legal documents for attorney review and case preparation. Write or summarie reports to help lawyers prepare for trials.","corporate paralegals, litigation paralegals",""
agricultural and food science technicians,agricultural and food science technicians assist agricultural and food scientists by performing duties such as measuring and analyzing the quality of food and agricultural products. Duties range from typical agricultural labor with added recordkeeping duties to laboratory testing with significant amounts of office work.,JOB,"life, physical and social science","associates degree, on-the-job training","analytical, communication, critical-thinking, interpersonal, physical stamina","follow protocols to collect, prepare, analyze and properly store crop or animal samples. Operate farm equipment and maintain agricultural production areas to conform to scientific testing parameters. Examine animal and crop specimens to determine the presence of diseases or other problems. Measure ingredients used in animal feed and other inputs.",,""
agricultural and food scientists,agricultural and food scientists research ways to improve the efficiency and safety of agricultural establishments and products,JOB,"life, physical and social science",bachelors degree,"communication, critical-thinking, data-analysis, math, observation","conduct research and experiments to improve the productivity and sustainability of field crops and farm animals. Create new food products and develop new and better ways to process, package and deliver them. Study the composition of soil a it relates to plant growth and research ways to improve it. Communicate research findings to the scientific community, food producers and the public","animal scientists, food scientists and technologists, plant scientists, soil scientists",""
"anthropologists, archeologists","anthropologists and archeologists study the origin, develop and behavior of humans. They examine the cultures, languages, archeological remains and physical characteristics of people in various parts of the world",JOB,"life, physical and social science",masters degree,"analytical, critical-thinking, communication, physical stamina","plan cultural research. Customize data collection methods according to a particular region, specialty or project. Collect information from observations, interviews and documents. Record and manage records of observations, interviews and documents. Record and manage records of observations taken in the field.",,""
"atmospheric scientists, meteorologists","atmospheric scientists study the weather and climate, and examine how those conditions affect human activity and the earth in general. They may develop forecasts, collect and compile data from the field, assist in the development of new data collection instruments or advise clients on risks or opportunities caused by weather events and climate change",JOB,"life, physical and social science",bachelors degree,"analytical, communication, critical-thinking, math","measure temperature, atmospheric pressure, humidity, wind speed, dew point and other properties of the atmosphere. Use computer models that analyze data about the atmosphere. Write computer models that analyze data about the atmosphere. Write computer programs to support their modeling efforts. Conduct research to improve understanding of weather phenomena.","atmospheric chemists, atmospheric physicists, atmospheric dynamists, broadcast meteorologists, climatologists, climate scientists, forensic meteorologists, research meteorologists, weather forecasters",""
biochemists and biophysicists,"biochemists and biophysicists study the chemical and physical principles of living things and of biological processes, such as cell development, growth, heredity and disease",JOB,"life, physical and social science","doctoral degree, professional degree","analytical, communication, critical-thinking, interpersonal, math, perseverance, problem-solving, time-management","plan and conduct complex projects in basic and applied research. Manage laboratory teams and monitor the quality of their work. Isolate, analyze and synthesize proteins, fats, dna and other molecules. Research the effects of substances such as drugs, hormones, and nutrients on tissues and biological processes.",,""
biological technicians,biological technicians help biological and medical scientists conduct laboratory tests and experiments,JOB,"life, physical and social science",bachelors degree,"analytical, communication, critical-thinking, observational, technical","set up, maintain and clean laboratory instruments and equipment, such as microscopes, scales, pipets and test tubes. Gather and prepare biological samples for laboratory analysis. Conduct bio logical tests and experiments. Document their work, including procedures, observations and results.. analyze experimental data and interpret results",,""
chemical technicians,"chemical technicians use laboratory instruments and techniques to help chemists and chemical engineers research, develop, produce and test chemical products and processes",JOB,"life, physical and social science",associates degree,"ability to use technology, analytical, communication, critical-thinking, interpersonal, observation, time-management",monitor chemical processes and test the quality of products to make sure that they meet standards and specifications. Setup and maintain laboratory instruments and equipment. Troubleshoot production problems or malfunctioning instruments. Prepare chemical solutions.,,""
"Chemists, materials scientists",chemists and materials scientists study substances at the atomic and molecular levels and analyze the ways in which the substances interact with one another. They use their knowledge to develop new and improved products and to test the quality of manufactured goods,JOB,"life, physical and social science",bachelors degree,"analytical, communication, interpersonal, math, organizational, perseverance, problem-solving, time-management","analytical chemists, forensic chemists, inorganic chemists, medicinal chemists, organic chemists, physical chemists, theoretical chemists",,""
"conservation scientists, foresters","conservation scientists and foresters manage the overall land of forests parks, rangelands and other natural resources",JOB,"life, physical and social science",bachelors degree,"analytical, critical-thinking, decisionmaking, management, physical stamina, speaking",oversee forestry and conservation activities to ensure compliance with government regulations and habitat protection. Negotiate terms and conditions for forest harvesting and for land-use contracts. Establish plans for managing forest lands and resources,"conservation land managers. Range managers. Soil and water conservationists, procurement foresters, urban foresters, conservation education foresters",""
economists,"economists study the production and distribution of resources, goods and services by collecting and analyzing data, researching trends and evaluating economic issues",JOB,"life, physical and social science",masters degree,"analytical, critical-thinking, speaking, writing","research economic issues. Conduct surveys and collect data. Analyze data using mathematical models, statistical techniques and software. Present research results in reports, tables and charts. Interpret and forecast market trends. Advise businesses, governments and individuals on economic topics",,""
environmental science and protection technicians,environmental science and protection technicians monitor the environment and investigate sources of pollution and contamination,JOB,"life, physical and social science",associates degree,"analytical, communication, critical-thinking, interpersonal","inspect establishments to ensure that there are no environmental, health or safety hazards. Set up and maintain equipment used to monitor pollution levels, such as remote sensors that measure emissions from smokestacks. Collect samples of air, soil, water and other materials for laboratory analysis. Clearly label, track and ensure the integrity of samples being transported to the laboratory",,""
environmental scientists and specialists,"environmental scientists and specialists use their knowledge of the natural sciences to protect the environment and human health. .they may clean up polluted areas, advise policymakers or work with industry to reduce waste",JOB,"life, physical and social science",bachelors degree,"analytical, communication, interpersonal, problem-solving, self-discipline","determine data collection methods for research projects, investigations and surveys. Collect and compile environmental data from samples of air, soil, water, food and other materials for scientific analysis. Analyze samples, surveys and other information to identify and assess threats to the environment",climate change analysts. Environmental health and saafety specialists. Environmental restoration planners. Industrial ecologists. Environmental chemists,""
epidemiologists,"epidemiologists are public health professionals who investigate patterns and causes of disease and injury in humans. They seek to reduce the risk and occurrence of negative health outcomes through research, community education and health policy.",JOB,"life, physical and social science",masters degree,"communication, critical-thinking, detail oriented, math and statistical, teaching","plan and direct studies of public health problems to find ways to prevent and treat them if they arise. Collect and analyze data through observations, interviews and surveys and by using samples of blood or other bodily fluids to find the causes of diseases or other health problems. Communicate their findings to health practitioners, policy-makers and the public",,""
forensic science technicians,forensic science technicians aid criminal investigations by collecting and analyzing evidence. Many technicians specialize in either crime scene investigation or laboratory analysis,JOB,"life, physical and social science",bachelors degree,"communication, critical-thinking, detail orient3ed, math and science, problem-solving","analyze crime scenes to determine what evidence should be collected and how. Take photographs of the crime scene and evidence. Make sketches of the crime scene. Record observations and findings, such as the location and position of evidence.",criminalists. Crime scene investigators. Forensic biologists. Forensic chemists. Forensic computer examiners. Digital forensics analysts,""
geographers,"geographers study the earth and the distribution of its land, features and inhabitants. They also examine political or cultural structures and study the physical and human geographic characteristics of regions ranging in scale from local to global.",JOB,"life, physical and social science",bachelors degree,"analytical, computer, critical-thinking, speaking, writing","gather geographic data through field observations, maps, photographs, satellite imagery and censuses. Conduct research via surveys, interviews and focus groups. Create and modify maps or other visual representations of geographic data","physical geographers, human geographers",""
"geological technicians, petroleum technicians",geological and petroleum technicians provide support to scientists and engineers in exploring and extracting natural resources such as oil and natural gas,JOB,"life, physical and social science","associates degree, on-the-job training","analytical, communication, critical-thinking, interpersonal, physical stamina","install and maintain laboratory and field equipment. Gather samples such as rock, mud and  soil in the field and prepare samples for laboratory analysis. Conduct scientific tests on samples to determine their content and characteristics.",,""
geoscientists,"geoscientists study the physical aspects of the earth such as its composition, structure, and processes to learn about its past, present and future",JOB,"life, physical and social science",bachelors degree,"communication, critical-thinking, outdoor skills, physical stamina, problem-solving","plan and carry out field studies, in which they visit locations to collect samples and conduct survveys. Analyze aerial photographs, well logs, rock samples and other data sources to locate deposits of natural resources and estimate their size. Conduct laboratory tests on samples collected in the field","geologists, geochemists, geophysicists, oceanographers, paleontologists, petrelum geolgists, sismologists",""
historians,"historians research, analyze, interpret and write about the past by studying historical documents and sources",JOB,"life, physical and social science",masters degree,"analytical, communication, foreign language, problem-solving, research","gather historical data from various sources, including archives, books and artifacts. Analyze and interpret historical information to determine its authenticity and significance. Trace historical developments in a particular field, engage with the public through educational programs and presentations.",,""
urban and regional planners,"urban and regional planners develop land use plans and programs that help create communities, accommodate population growth and revitalize physical facilities in towns, cities, counties and metropolitan areas.",JOB,"life, physical and social science",masters degree,"analytical, communication, decisionmaking, leadership","meet with public officials, developers and the public regarding development plans and land use. Administer government plans or policies affecting land use. Gather and analyze data from market research, censuses and economic and environmental studies.",,""
hydrologists,"hydrologists study how water moves aacross and through the earths crust. They study how rain, snow and other forms of precipitation impact river flows or groundwater levels and how surface water and groundwater evaporate back into the atmosphere or eventually reach the oceans",JOB,"life, physical and social science",bachelors degree,"analytical, communication, critical-thinking, interpersonal, physical stamina","measure the properties of bodies of water such as volume and stream flow. Collect water and soil samples to test for certain properties such as the ph or pollution levels. Analyze data on the environmental impacts of pollution, erosion drought and other problems. Research ways to minimize the negative impacts of erosion, sedimentation or pollution on the environment","groundwater hydrologists, surface water hydrologists",""
medical scientists,medical scientists conduct research aimed at improving overall human health. They often use clinical trials and other investigative methods to reach their findings,JOB,"life, physical and social science","doctoral degree, professional degree","communication, critical-thinking, data-analysis, decisionmaking, observation","design and conduct studies that investigate both human diseases and methods to prevent and treat them. Prepare and analyze medical samples and data to investigate causes and treatment of toxicity, pathogens and chronic diseases. Standardize drug potency, doses and methods to allow for the mass manufacturing and distribution of drugs and medicinal compounds,",,""
microbiologists,"microbiologists study microorganisms such as bacteria, viruses, algae, fungi and some types of parasites. They try to understand how these organisms live, grow and interact with their environments",JOB,"life, physical and social science",bachelors degree,"communication, detail oriented, interpersonal, logical-thinking, math, observation, perseverance, problem-solving, time-management","plan and conduct complex research projects, such as improving sterilization procedures or developing new drugs to combat infectious diseases. Perform laboratory experiments that are used in the diagnosis and treatment of illnesses. Supervise the work of  biological technicians and other workers and evaluate the accuracy of their results.","bacteriologists, clinical microbiologists, environmental microbiologists, industrial microbiologists, mycologists, parasitologists, public health microbiologists, virologists",""
nuclear technicians,"nuclear technicians typically work in nuclear energy production or assist physicists, engineers and other professionals in nuclear research. They operate special equipment used in these activities and monitor levels of radiation that are produced",JOB,"life, physical and social science","associates degree, on-the-job training","communication, computer, critical-thinking, math, mechanical, monitoring","monitor the performance of equipment used in nuclear experiments and power generation. Measure the levels ad types of radiation produced by nuclear experiments, power generation, and other activities. Collect samples of air, water and soil and test for radioactive contamination","operating technicians, radiation protection technicnans",""
"physicists, astronomers","physicists and astronomers study the ways in which various forms of matter and energy interact. Theoretical physicists and astronomers may study the nature of time or the origin of the universe. Some physicists design and perform experiments with sophisticated equipment such as particle accelerators, electron microscopes and lasers",JOB,"life, physical and social science","doctoral degree, professional degree","analytical, communication, critical-thinking, curiosity, interpersonal, math, problem-solving, self-discipline","develop scientific theories and models that attempt to explain the properties of the natural world, such as the force of gravity or the formation of sub-atomic particles. Plan and conduct scientific experiments and studies to test theories and discover properties of matter and energy. Write proposals and apply for funding to conduct research.","astronomers, physicists, experimental physicists, astrophysicists, atomic physicists, molecular physicists, optical physicists, condense matter physicists, materials physicists, medical physicists, particle physicists, nuclear physicists, plasma physicists, cosmologists, extragalactic astronomers, galactic astronomers, planetary astronomers, solar astronomers, stellar astronomers, optical astronomers, radio astronomers",""
political scientists,"political scientists study the origin, development and operation of political systems. They research political ideas and analyze governments, policies, political trends and related issues",JOB,"life, physical and social science",masters degree,"analytical, communication, creativity, critical-thinking","research political subjects. Collect and analyze data from sources such as public opinion surveys. Develop and test political theories. Evaluate the effects of policies and laws on government, businesses, and people. Monitor current events, policy decisions and other related issues. Forecast political, economic and social trends. Submit research results by giving presentations and publishing articles.",,""
psychologists,"psychologists study cognitive, emotional and social processes and behavior by observing, interpreting and recording how people relate to one another and to their environments. They use their findings to help improve processes and behaviors",JOB,"life, physical and social science","masters degree, doctoral degree, license","analytical, communication, integrity, interpersonal, observational, patience, problem-solving","conduct scientific studies of behavior and brain function. Observe, interview and survey individuals. Identify psychological, emotional, behavioral, or organizational issues and diagnose disorders. Research and identify behavioral or emotional patterns","clinical psychologists, counseling psychologists, developmental psychologists, forensic psychologists, industrial-organizational psychologists, rehabilitation psychologists, school psychologists",""
sociologists,"sociologists study society and social behavior by examining the groups, cultures, organizations, social institutions and processes that develop when people interact and work together",JOB,"life, physical and social science",masters degree,"analytical, communication, critical-thinking","design research projects to test theories about social issues. Collect data through surveys, observations, interviews and other sources, analyze and draw conclusions from data. Prepare reports, articles or presentations detailing their research findings",,""
survey researchers,"survey researchers design surveys and analyze data. Surveys are used to collect factual data, such as employment and salary information or to ask questions in order to understand peoples opinions, preferences, beliefs or desires",JOB,"life, physical and social science",masters degree,"analytical, communication, critical-thinking, detail oriented, problem-solving","conduct background research on survey topics. Plan and design surveys, determine appropriate survey methods. Test surveys to make sure that people will understand the questions being asked. Coordinate the work of survey interviewers and data collectors. Account for and solve problems caused by nonresponse or other sampling issues. Analyze data, using statistical software and techniques.",,""
"zoologists, wildlife biologists","zoologists and wildlife biologists study animals and other wildlife and how they interact with their ecosystems. They study the physical characteristics of animals, animal behaviors and the impacts humans have on wildlife and natural habitats",JOB,"life, physical and social science",bachelors degree,"communication, critical-thinking, emotional stamina and stability, interpersonal, observation, outdoor, problem-solving","develop and conduct experimental studies with animals in controlled or natural surroundings. Collect biological data and specimens for analysis. Study the characteristics of animals, such as their interactions with other species, reproduction, population dynamics, diseases and movements patterns. Analyze the influence that human activity has on wildlife and their natural habitats.",,""
administrative services managers,"administrative services managers plan, direct and coordinate supportive services of an organization. Their specific responsibilities vary, but administrative service managers typically maintain facilities and supervise activities that include recordkeeping, mail distribution, office upkeep.",JOB,management,bachelors degree,"analytical, communication, detail oriented, leadership","supervise clerical and administrative personnel. Set goals and deadlines for their department. Develop, manage and monitor records. Recommend changes to policies or procedures in order to improve operations. Monitor the facility to ensure that it remains safe, secure  and well maintained","facility managers, records and information managers",""
"advertising managers, promotions managers, marketing managers","advertising, promotions and marketing managers plan programs to generate interests in products or services. They work with art directors, advertising sales agents and financial staff members",JOB,management,bachelors degree,"analytical, communication, creativity, decisionmaking, interpersonal, organizational","work with department heads or staff to discuss topics such as budgets and contracts, marketing plans and the selection of advertising media. Plan promotional campaigns such as contents, coupons or giveaways. Plan advertising campaigns, including which media to advertise in, such as radio, television, print, online media and billboards. Negotiate advertising contracts","advertising managers, promotions managers, marketing managers",""
"architectural managers, engineering managers","architectural and engineering managers plan, direct and coordinate activities in architectural and engineering companies",JOB,management,"bachelors degree, 5/years/more related occupation","analytical, communication, detail oriented, math, organizational","make detailed plans for development of new products and designs. Determine staff, training and equipment needs. Propose budgets for projects and programs. Hire and supervise staff. Led research and development projects to produce new products, processes or designs.",,""
"compensation, managers, benefits managers","compensation and benefits managers plan, develop and oversee programs to compensate employees",JOB,management,"bachelors degree, 5/years/more related occupation","analytical, business, communication, decisionmaking, leadership",coordinate and supervise the work activities of specialists and support staff. Set the organizations pay and benefits structure. Determine competitive wage rates to develop or modify compensation plans. Choose and manage outside partners. Oversee the distribution of pay and benefits information to the organizations employees,"compensation managers, benefits managers",""
computer and information systems managers,"computer and information systems managers plan, coordinate and direct compute rrelated activities in an organization. They help determine the information technology goals of an organization and are responsible for implementing computer systems to meet those goals",JOB,management,"bachelors degree, 5/years/more related occupation","analytical, business, communication, decisionmaking, leadership, organizational",analyze their organizations computer needs and recommend possible upgrades for top executives to consider. Plan and direct the installation and maintenance of computer hardware and software. Ensure the security of an organizations network and electronic documents,"chief information officers, chief technology officers, it directors, it security managers",""
construction managers,"construction managers plan, coordinate, budget and supervise construction projects from start to finish",JOB,management,"bachelors degree, on-the-job training","analytical, business, customer-service, decisionmaking, initiative, leadership, speaking, technical, time-management","prepare cost estimates, budgets and work timetables. Interpret and explain contracts and technical information to other professionals. Report work progress and budget matters to clients. Collaborate with architects, engineers, and other construction specialists",,""
"elementary, middle, and high school principals","elementary, middle, and high school principals manage all school operations including daily school activities. They coordinate curriculums, oversee teachers and other school staff and provide a safe and productive learning environment for students",JOB,management,"masters degree, 5/years/more related occupation","communication, critical-thinking, decisionmaking, interpersonal leadership","manage school activities and staff. Establish and oversee class schedules. Develop, implement and maintain curriculum standards. Counsel and discipline students observe teachers and evaluate their performance",,""
emergency management directors,"emergency management directors prepare plans and procedures for responding to natural disasters and other emergencies, they",JOB,management,"bachelors degree, 5/years/more related occupation","communication, critical-thinking, decisionmaking, interpersonal, leadership","assess hazards and prepare plns to respond to emergencies and disasters in order to minimize risk to people and property. Meet with public safety officials, private companies and the general public to get recommendations regarding emergency response plans.",,""
"farmers, ranchers, and other agricultural managers","farmers, ranchers and other agricultural managers operate establishments that produce crops, livestock and dairy products",JOB,management,"high school diploma, 5/years/more related","analytical, critical-thinking, initiative, interpersonal, mechanical, physical strength","supervise all steps of the crop production and ranging process, including planting, fertilizing, harvesting and hearding. Determine how to raise crops or livestock by evaluating factors such as market conditions, disease, soil conditions or a crops growing cycle. Maintain farm facilities, such as water pipes, hoses, fences and animal shelters","farmers, ranchers, agricultural managers, crop farmers, crop managers, live stock managers, dairy managers, poultry farmers managers, ranchers,nursery and greenhouse managers. Aquaculture farmers and managers",""
customer service representatives,"customer service representatives interact with customers to handle complaints, process orders and provide information about an organizations products and services",JOB,office and administrative support,"high school diploma, on-the-job training","communication, customer-service, interpersonal, listening, patience, problem-solving","listen to customers questions and concerns and provide answers or responses. Provide information about products and services. Take orders, calculate charges, and process billing or payments. Review or make changes to customer accounts. Handle returns or complaints.",,""
financial managers,"financial managers are responsible for the financial health of an organization. They produce financial reports,, direct investment activities and develop strategies and plans for the long-term financial goals of their organization",JOB,management,"bachelors degree, 5/years/more related occupation","analytical, communication, detail oriented, math, organizational","prepare financial statements, business activity reports and forecasts. Monitor financial details to ensure that legal requirements are met supervise employees who do financial reporting and budgeting. Review company financial reports and seek ways to reduce costs. Analyze market trends to maximize profits and find expansion opportunties","controllers, treasurers, finance officers, credit managers, cash managers, risk managers, insurance managers",""
food service managers,"food service managers are responsible for the daily operation of restaurants or other establishments that prepare and serve food and beverages. They direct staff to ensure that customers are satisfied with their dining experience, and they manage the business to ensure that it is profitable.",JOB,management,"high school diploma, less/5/years","business, communication, customer-service, detail oriented, leadership, organizational, physical stamina, problem-solving","hire, train, oversee and sometimes fire employees. Order food and beverages, equipment and supplies. Oversee food preparation, portion sizes and the overall presentation of food. Inspect supplies,  equipment and work areas",,""
human resources managers,"human resources managers plan, direct and coordinate the administrative functions of an organization. They oversee the recruiting, interviewing and hiring of new staff; consult with top executives on strategic planning; and serve as a link between an organizations management and its employees",JOB,management,"bachelors degree, 5/years/more related occupation","decisionmaking, interpersonal, leadership, organizational, speaking",plan and coordinate an organizations workforce to best use employees talents. Link an organizations management with its employees. Plan and oversee employee benefits programs. Serve as a consultant with other managers advising them on human resources issues.,"labor relations directors, employee relations managers, payroll managers, recruiting managers",""
industrial production managers,"industrial production managers oversee the daily operations of manufacturing and related plants.  They coordinate, plan and direct the activities used to create a wide range of goods, such as cars, computer equipment or paper products",JOB,management,"bachelors degree, 5/years/more related occupation","interpersonal, leadership, problem-solving, time-management","decide how best to use a plants workers and equipment to meet production goals. Ensure that production stays on schedule and within budget. Hire, train and evaluate workers. Analyze production data. Write production reports.",,""
lodging managers,"lodging managers ensure that guests on vacation or business travel have a pleasant experience at a hotel, motel or other types of establishments with accommodations. Lodging managers also ensure that the establishment is run efficiently and profitably.",JOB,management,"high school diploma, less/5/years","business, customer-service, interpersonal, leadership, listening, organizational, problem-solving","inspect guest rooms, public areas, and grounds for cleanliness and appearance. Ensure that company standards for guest services, décor, and housekeeping are met. Answer questions from guests about hotel policies and services. Keep track of how much money the hotel or lodging facility is making.","general managers, revenue managers, front-office managers, convention service managers, front-office managers",""
medical and health services managers,"medical and health services managers plan, direct and coordinate medical and health services. They may manage an entire facility, a specific clinical area or department or a medical practice for a group of physicians.",JOB,management,"Bachelors degree, 5/less related occupation","analytical, communication, detail oriented, interpersonal, leadership, technical",improve efficiency and quality in delivering healthcare services. Develop departmental goals and objectives. Ensure that the facility in which they work is up to date on and compliant with laws and regulations,"nursing home administrators, clinical managers, health information managers",""
