"created_at","action_name","path_name"
'2022-11-06 00:16:49.031',"assess students to evaluate their abilities and strengths and weaknesses","high school teachers"
'2022-11-06 00:16:49.031',"teach students in full class settings or in small groups","high school teachers"
'2022-11-06 00:16:49.031',"adapt lessons to any changes in class size","high school teachers"
'2022-11-06 00:16:49.031',"grade students assignments and exams","high school teachers"
'2022-11-06 00:16:49.031',"develop and coordinate the implementation of curriculums","instructional coordinators"
'2022-11-06 00:16:49.031',"plan organize and conduct teacher training conferences or workshops","instructional coordinators"
'2022-11-06 00:16:49.031',"analyze student test data","instructional coordinators"
'2022-11-06 00:16:49.031',"assess and discuss implementation of curriculum standards with school staff","instructional coordinators"
'2022-11-06 00:16:49.031',"review and recommend textbooks and other educational materials","instructional coordinators"
'2022-11-06 00:16:49.031',"create lesson plans to teach students subjects such as reading science social studies and math","kindergarten and elementary school teachers"
'2022-11-06 00:16:49.031',"teach students how to study and communicate with others","kindergarten and elementary school teachers"
'2022-11-06 00:16:49.031',"observe students to evaluate their abilities and strengths and weaknesses","kindergarten and elementary school teachers"
'2022-11-06 00:16:49.031',"grade students assignments","kindergarten and elementary school teachers"
'2022-11-06 00:16:49.031',"communicate with parents about their childs progress","kindergarten and elementary school teachers"
'2022-11-06 00:16:49.031',"help library patrons conduct research and find the information they need","librarians"
'2022-11-06 00:16:49.031',"teach classes about information resources","librarians"
'2022-11-06 00:16:49.031',"help patrons evaluate search results and reference materials","librarians"
'2022-11-06 00:16:49.031',"organize library materials so they are easy to find and maintain collections","librarians"
'2022-11-06 00:16:49.031',"sort and reshelve returned books periodicals and other materials","library technicians and assistants"
'2022-11-06 00:16:49.031',"catalogue and maintain library materials","library technicians and assistants"
'2022-11-06 00:16:49.031',"handle interlibrary loans","library technicians and assistants"
'2022-11-06 00:16:49.031',"register new patrons and issue library cards","library technicians and assistants"
'2022-11-06 00:16:49.031',"answer routine reference questions from patrons","library technicians and assistants"
'2022-11-06 00:16:49.031',"teach patrons how to use library resources","library technicians and assistants"
'2022-11-06 00:16:49.031',"create lesson plans to teach students a subject such as science or history","middle school teachers"
'2022-11-06 00:16:49.031',"assess students to evaluate their abilities and strengths and weaknesses","middle school teachers"
'2022-11-06 00:16:49.031',"teach lessons they have planned to an entire class or to smaller groups","middle school teachers"
'2022-11-06 00:16:49.031',"grade students assignments and exams","middle school teachers"
'2022-11-06 00:16:49.031',"teach courses in their subject area","postsecondary teachers"
'2022-11-06 00:16:49.031',"work with students who are taking classes to improve their knowledge or career skills","postsecondary teachers"
'2022-11-06 00:16:49.031',"develop an instructional plan for the courses they teach and ensure that it meets college and department standards","postsecondary teachers"
'2022-11-06 00:16:49.031',"teach children basic skills such as color shape number and letter recognition","preschool teachers"
'2022-11-06 00:16:49.031',"work with children in groups or one on one depending on the needs of children and the subject matter","preschool teachers"
'2022-11-06 00:16:49.031',"plan and carry out a curriculum that targets different areas of child development","preschool teachers"
'2022-11-06 00:16:49.031',"organize activities so children can learn about the world explore interests and develop skills","preschool teachers"
'2022-11-06 00:16:49.031',"assess students skills to determine their needs","special education teachers"
'2022-11-06 00:16:49.031',"adapt general lessons to meet the needs of students","special education teachers"
'2022-11-06 00:16:49.031',"develop individualized education programs for each student","special education teachers"
'2022-11-06 00:16:49.031',"plan organize and assign activities that are specific to each students abilities","special education teachers"
'2022-11-06 00:16:49.031',"reinforce lessons presented by teachers by reviewing material with students one on one or in small groups","teacher assistants"
'2022-11-06 00:16:49.031',"enforce school and class rules to teach students proper behavior","teacher assistants"
'2022-11-06 00:16:49.031',"help teachers with recordkeeping such as tracking attendance and calculating grades","teacher assistants"
'2022-11-06 00:16:49.031',"read scripts and meet with agents and other professionals before accepting a role","actors"
'2022-11-06 00:16:49.031',"audition in front of directors producers and casting directors","actors"
'2022-11-06 00:16:49.031',"research their characters personal traits and circumstances to portray the characters more authentically","actors"
'2022-11-06 00:16:49.031',"practice to develop and improve their skills","athletes and sports competitors"
'2022-11-06 00:16:49.031',"maintain their sports equipment in good condition","athletes and sports competitors"
'2022-11-06 00:16:49.031',"train exercise and follow special diets to stay in the best physical condition","athletes and sports competitors"
'2022-11-06 00:16:49.031',"review damage reports prepare cost estimates and plan work","automotive body and glass repairers"
'2022-11-06 00:16:49.031',"inspect cars for structural damage","automotive body and glass repairers"
'2022-11-06 00:16:49.031',"remove damaged body parts","automotive body and glass repairers"
'2022-11-06 00:16:49.031',"realign car frames and chassis","automotive body and glass repairers"
'2022-11-06 00:16:49.031',"plan organize and conduct practice sessions","coaches and scouts"
'2022-11-06 00:16:49.031',"analyze the strengths and weaknesses of individual athletes and opposing teams","coaches and scouts"
'2022-11-06 00:16:49.031',"plan strategies and choose team members for each game","coaches and scouts"
'2022-11-06 00:16:49.031',"provide direction encouragement and motivation to prepare athletes for games","coaches and scouts"
'2022-11-06 00:16:49.031',"audition for a part in a show or for a job within a dance company","dancers and choreographers"
'2022-11-06 00:16:49.031',"learn complex dance movements that entertain an audience","dancers and choreographers"
'2022-11-06 00:16:49.031',"escort and transport inmates","correctional officers and bailiffs"
'2022-11-06 00:16:49.031',"rehearse several hours each day to prepare for their performance","dancers and choreographers"
'2022-11-06 00:16:49.031',"study new and emerging types of dance","dancers and choreographers"
'2022-11-06 00:16:49.031',"work closely with instructors choreographers or other dancers to interpret or modify their routines","dancers and choreographers"
'2022-11-06 00:16:49.031',"take and record patients medical histories and symptoms","nurse anesthetists nurse midwives nurse practitioners"
'2022-11-06 00:16:49.031',"perform physical exams and observe patients","nurse anesthetists nurse midwives nurse practitioners"
'2022-11-06 00:16:49.031',"create patient care plans or contribute to existing plans","nurse anesthetists nurse midwives nurse practitioners"
'2022-11-06 00:16:49.031',"perform and order diagnostic tests","nurse anesthetists nurse midwives nurse practitioners"
'2022-11-06 00:16:49.031',"operate and monitor medical equipment","nurse anesthetists nurse midwives nurse practitioners"
'2022-11-06 00:16:49.031',"select musical arrangements and compositions to be performed for live audiences or recordings","music directors and composers"
'2022-11-06 00:16:49.031',"prepare for performances by reviewing and interpreting musical scores","music directors and composers"
'2022-11-06 00:16:49.031',"direct rehearsals to prepare for performances and recordings","music directors and composers"
'2022-11-06 00:16:49.031',"choose guest performers and soloists","music directors and composers"
'2022-11-06 00:16:49.031',"perform music for live audiences and recordings","musicians and singers"
'2022-11-06 00:16:49.031',"audition for positions in orchestras choruses bands and other types of music groups","musicians and singers"
'2022-11-06 00:16:49.031',"practice playing instruments or singing to improve their technique","musicians and singers"
'2022-11-06 00:16:49.031',"rehearse to prepare for performances","musicians and singers"
'2022-11-06 00:16:49.031',"select scripts or topics for a film show commercial or play","producers and directors"
'2022-11-06 00:16:49.031',"audition and select cast members and the film or stage crew","producers and directors"
'2022-11-06 00:16:49.031',"approve the design and financial aspects of a production","producers and directors"
'2022-11-06 00:16:49.031',"oversee the production process including performances lighting and choreography","producers and directors"
'2022-11-06 00:16:49.031',"oversee the postproduction process including editing special effects music select and a performances overall tone","producers and directors"
'2022-11-06 00:16:49.031',"officiate sporting events games and competitions","umpires referees and other sports officials"
'2022-11-06 00:16:49.031',"judge performances in sporting competitions to determine a winner","umpires referees and other sports officials"
'2022-11-06 00:16:49.031',"inspect sports equipment and examine all participants to ensure safety","umpires referees and other sports officials"
'2022-11-06 00:16:49.031',"keep track of event times and starting or stopping play when necessary","umpires referees and other sports officials"
'2022-11-06 00:16:49.031',"harvest and inspect crops by hand irrigate farm soil and maintain ditches or pipes and pumps","agricultural workers"
'2022-11-06 00:16:49.031',"operate and service farm machinery and tools","agricultural workers"
'2022-11-06 00:16:49.031',"spray fertilizer or pesticide solutions to control insects fungi and weeds","agricultural workers"
'2022-11-06 00:16:49.031',"locate fish with the use of fish finding equipment","fishing and hunting workers"
'2022-11-06 00:16:49.031',"steer vessels and operate navigational instruments","fishing and hunting workers"
'2022-11-06 00:16:49.031',"maintain engines fishing gear and other onboard equipment by making minor repairs","fishing and hunting workers"
'2022-11-06 00:16:49.031',"plant seedlings to reforest land","forest and conservation workers"
'2022-11-06 00:16:49.031',"clear away brush and debris from trails roadsides and camping areas","forest and conservation workers"
'2022-11-06 00:16:49.031',"count and measure trees during tree measuring efforts","forest and conservation workers"
'2022-11-06 00:16:49.031',"select or cut trees according to markings and sizes types or grades","forest and conservation workers"
'2022-11-06 00:16:49.031',"cut down trees","logging workers"
'2022-11-06 00:16:49.031',"fasten cables around logs to be dragged by trackers","logging workers"
'2022-11-06 00:16:49.031',"operate machinery that drag logs to the landing or deck area","logging workers"
'2022-11-06 00:16:49.031',"separate logs by species and type of wood and load them onto trucks","logging workers"
'2022-11-06 00:16:49.031',"greet customers give them menus and inform them about daily specials","bartenders"
'2022-11-06 00:16:49.031',"take drink orders from customers","bartenders"
'2022-11-06 00:16:49.031',"pour and serve wine beer and other drinks and beverages","bartenders"
'2022-11-06 00:16:49.031',"mix drinks according to recipes","bartenders"
'2022-11-06 00:16:49.031',"plan cultural research","anthropologists archeologists"
'2022-11-06 00:16:49.031',"customize data collection methods according to a particular region specialty or project","anthropologists archeologists"
'2022-11-06 00:16:49.031',"collect information from observations record and manage records of observations interviews and documents","anthropologists archeologists"
'2022-11-06 00:16:49.031',"record and manage records of observations taken in the field","anthropologists archeologists"
'2022-11-06 00:16:49.031',"check the freshness of food and ingredients","chefs and head cooks"
'2022-11-06 00:16:49.031',"supervise and coordinate activities of cooks and other food preparation workers","chefs and head cooks"
'2022-11-06 00:16:49.031',"develop recipes and determine how to present dishes","chefs and head cooks"
'2022-11-06 00:16:49.031',"plan menus and ensure the quality of meals","chefs and head cooks"
'2022-11-06 00:16:49.031',"ensure the freshness of food and ingredients","cooks"
'2022-11-06 00:16:49.031',"weigh measure and mix ingredients according to recipes","cooks"
'2022-11-06 00:16:49.031',"bake grill or fry meats fish vegetables and other foods","cooks"
'2022-11-06 00:16:49.031',"boil and steam meats fish vegetables and other foods","cooks"
'2022-11-06 00:16:49.031',"greet customers and answer their questions about menu items and specials","food and beverage serving and related workers"
'2022-11-06 00:16:49.031',"take food or drink orders from customers","food and beverage serving and related workers"
'2022-11-06 00:16:49.031',"relay customers orders to other kitchen staff","food and beverage serving and related workers"
'2022-11-06 00:16:49.031',"prepare food and drink orders such as sandwiches and salads and coffee","food and beverage serving and related workers"
'2022-11-06 00:16:49.031',"accept payments and balance receipts","food and beverage serving and related workers"
'2022-11-06 00:16:49.031',"serve food and drinks to customers at a counter at a stand or in a hotel room","food and beverage serving and related workers"
'2022-11-06 00:16:49.031',"clean and sanitize work areas equipment utensils aand dishes","food preparation workers"
'2022-11-06 00:16:49.031',"weigh or measure ingredients such as meats and liquids","food preparation workers"
'2022-11-06 00:16:49.031',"prepare fruit and vegetables for cooking","food preparation workers"
'2022-11-06 00:16:49.031',"cut meats poultry and seafood and prepare them fr cooking","food preparation workers"
'2022-11-06 00:16:49.031',"mix ingredients for salads","food preparation workers"
'2022-11-06 00:16:49.031',"greet customers present menus and explain daily specials to customers","waiters and waitresses"
'2022-11-06 00:16:49.031',"answer questions related to the menu and offer item suggestions","waiters and waitresses"
'2022-11-06 00:16:49.031',"take food and beverage orders from customers","waiters and waitresses"
'2022-11-06 00:16:49.031',"relay food and beverage orders to the kitchen staff","waiters and waitresses"
'2022-11-06 00:16:49.031',"prepare drinks and food garnishes","waiters and waitresses"
'2022-11-06 00:16:49.031',"apply protective or injury preventive devices such as tape bandages and braces","athletic trainers"
'2022-11-06 00:16:49.031',"recognize and evaluate injuries","athletic trainers"
'2022-11-06 00:16:49.031',"provide first aid or emergency care","athletic trainers"
'2022-11-06 00:16:49.031',"develop and carry out rehabilitation programs for injured athletes","athletic trainers"
'2022-11-06 00:16:49.031',"plan and implement comprehensive programs to prevent injury and illness among athletes","athletic trainers"
'2022-11-06 00:16:49.031',"examine patients who have hearing balance or related ear problems","audiologists"
'2022-11-06 00:16:49.031',"assess the results of the examination and diagnose problems","audiologists"
'2022-11-06 00:16:49.031',"determine and administer treatment to meet patients goals","audiologists"
'2022-11-06 00:16:49.031',"provide treatment for tinnitus","audiologists"
'2022-11-06 00:16:49.031',"assess a patients medical condition by reviewing the patients medical history and concerns and by performing a physical examination","chiropractors"
'2022-11-06 00:16:49.031',"analyze the patients posture spine and reflexes","chiropractors"
'2022-11-06 00:16:49.031',"conduct tests including evaluating a patients posture and taking x rays","chiropractors"
'2022-11-06 00:16:49.031',"ensure that patients are comfortable in the dental chair","dental assistants"
'2022-11-06 00:16:49.031',"prepare patients and the work area for treatments and procedures","dental assistants"
'2022-11-06 00:16:49.031',"sterilize dental instruments","dental assistants"
'2022-11-06 00:16:49.031',"hand instruments to dentists during procedures","dental assistants"
'2022-11-06 00:16:49.031',"remove tartar stains and plaque from teeth","dental hygienists"
'2022-11-06 00:16:49.031',"apply sealants and fluorides to help protect teeth","dental hygienists"
'2022-11-06 00:16:49.031',"take and develop dental x rays","dental hygienists"
'2022-11-06 00:16:49.031',"assess patients oral health and report findings to dentists","dental hygienists"
'2022-11-06 00:16:49.031',"document patient care and treatment plans","dental hygienists"
'2022-11-06 00:16:49.031',"remove decay from teeth and fill cavities","dentists"
'2022-11-06 00:16:49.031',"repair cracked or fractured teeth and remove teeth","dentists"
'2022-11-06 00:16:49.031',"place sealants or whitening agents on teeth","dentists"
'2022-11-06 00:16:49.031',"administer anesthetics to keep patients from feeling pain during procedures","dentists"
'2022-11-06 00:16:49.031',"prescribe antibiotics or other medications","dentists"
'2022-11-06 00:16:49.031',"prepare patients for procedures by taking their medical history and answering any questions about the procedure","diagnostic medical sonographers and cardiovascular technologists and technicians including vascular technologists"
'2022-11-06 00:16:49.031',"prepare and maintain diagnostic imaging equipment","diagnostic medical sonographers and cardiovascular technologists and technicians including vascular technologists"
'2022-11-06 00:16:49.031',"operate equipment to obtain diagnostic images or to conduct tests","diagnostic medical sonographers and cardiovascular technologists and technicians including vascular technologists"
'2022-11-06 00:16:49.031',"review images or test results to check for quality and adequate coverage of the areas needed for diagnoses","diagnostic medical sonographers and cardiovascular technologists and technicians including vascular technologists"
'2022-11-06 00:16:49.031',"assess patients and clients nutritional and health needs","dietitians and nutritionists"
'2022-11-06 00:16:49.031',"counsel patients on nutrition issues and healthy eating habits","dietitians and nutritionists"
'2022-11-06 00:16:49.031',"develop meal and nutrition plans taking both clients preferences and budgets into account","dietitians and nutritionists"
'2022-11-06 00:16:49.031',"evaluate the effects of meal plans and change the plans as needed","dietitians and nutritionists"
'2022-11-06 00:16:49.031',"promote better health by speaking to groups about diet nutrition and the relationship between good eating habits and preventing or managing specific diseases","dietitians and nutritionists"
'2022-11-06 00:16:49.031',"respond to 911 calls for emergency medical assistance","emts and paramedics"
'2022-11-06 00:16:49.031',"assess a patients condition and determine a course of treatment","emts and paramedics"
'2022-11-06 00:16:49.031',"provide first aid treatment or life support care to sick or injured patients","emts and paramedics"
'2022-11-06 00:16:49.031',"transport patients safely in an ambulance","emts and paramedics"
'2022-11-06 00:16:49.031',"transfer patients tot he emergency department of a hospital or other healthcare facility","emts and paramedics"
'2022-11-06 00:16:49.031',"analyze a patients medical history to asses their risk during exercise and to determine the best possible exercise and fitness regimen","exercise physiologists"
'2022-11-06 00:16:49.031',"perform fitness and stress tests with medical equipment and analyze the resulting patient data","exercise physiologists"
'2022-11-06 00:16:49.031',"measure blood pressure oxygen usage hearth rhythm and other key patient health indicators","exercise physiologists"
'2022-11-06 00:16:49.031',"interview patients to get comprehensive individual family and medical histories","genetic counselors"
'2022-11-06 00:16:49.031',"evaluate genetic information to identify patients or families at risk for specific genetic disorders","genetic counselors"
'2022-11-06 00:16:49.031',"write detailed consultation reports to provide information on complex genetic concepts for patients or referring physicians","genetic counselors"
'2022-11-06 00:16:49.031',"assist clients in their daily personal tasks","home health aides and personal care aides"
'2022-11-06 00:16:49.031',"housekeeping laundry washing dishes and vacuuming","home health aides and personal care aides"
'2022-11-06 00:16:49.031',"help to organize a clietns schedule and plan appointments","home health aides and personal care aides"
'2022-11-06 00:16:49.031',"monitor patients health","licensed practical licenses vocational nurses"
'2022-11-06 00:16:49.031',"administer basic patient care including changing bandages and inserting catheters","licensed practical licenses vocational nurses"
'2022-11-06 00:16:49.031',"provide for the basic comfort of patients such as helping them bathe or dress","licensed practical licenses vocational nurses"
'2022-11-06 00:16:49.031',"discuss the care they are providing with patients and listen to their concerns","licensed practical licenses vocational nurses"
'2022-11-06 00:16:49.031',"talk with clients about their symptoms medical history and desired results","massage therapists"
'2022-11-06 00:16:49.031',"evaluate clients to locate painful or tense areas of the body","massage therapists"
'2022-11-06 00:16:49.031',"manipulate muscles and other soft tissues of the body","massage therapists"
'2022-11-06 00:16:49.031',"analyze body fluids such as blood urine and tissue samples and record normal or abnormal findings","medical and clinical laboratory technologists and technicians"
'2022-11-06 00:16:49.031',"study blood samples for use in transfusions by identifying the number of cells the cell morphology or the blood group blood type and compatibility with other blood types","medical and clinical laboratory technologists and technicians"
'2022-11-06 00:16:49.031',"operate sophisticated laboratory equipment","medical and clinical laboratory technologists and technicians"
'2022-11-06 00:16:49.031',"record patient history and personal information","medical assistants"
'2022-11-06 00:16:49.031',"measure vital signs","medical assistants"
'2022-11-06 00:16:49.031',"help physicians with patient examinations","medical assistants"
'2022-11-06 00:16:49.031',"give patients injections or medications as directed by physicians and as permitted by state law","medical assistants"
'2022-11-06 00:16:49.031',"schedule patient appointments","medical assistants"
'2022-11-06 00:16:49.031',"review patients records for timeliness completeness accuracy and approprietness of data","medical records and health information technicians"
'2022-11-06 00:16:49.031',"organize and maintain data for clinical databases and registries","medical records and health information technicians"
'2022-11-06 00:16:49.031',"track patient outcomes for quality assessment","medical records and health information technicians"
'2022-11-06 00:16:49.031',"use classification software to assign clinical codes for insurance reimbursement and data analysis","medical records and health information technicians"
'2022-11-06 00:16:49.031',"electronically record data for collection storage analysis retrieval and reporting","medical records and health information technicians"
'2022-11-06 00:16:49.031',"listen to the recorded dictation of a doctor or healthcare worker","medical transcriptionists"
'2022-11-06 00:16:49.031',"interpret and transcribe the dictation into patient history and exam notes and operative reports and referral letters and discharge summaries and other documents","medical transcriptionists"
'2022-11-06 00:16:49.031',"review and edit drafts prepared by speech recognition software making sure that the transcription is correct","medical transcriptionists"
'2022-11-06 00:16:49.031',"complete and consistent in style","medical transcriptionists"
'2022-11-06 00:16:49.031',"explain medical procedures to the patient and answer questions","nuclear medicine technologists"
'2022-11-06 00:16:49.031',"follow safety procedures to protect themselves and the patient from unnecessary radiation exposure","nuclear medicine technologists"
'2022-11-06 00:16:49.031',"prepare radioactive drugs and administer them to the patient","nuclear medicine technologists"
'2022-11-06 00:16:49.031',"monitor the patient to check for unusual reactions to the drugs","nuclear medicine technologists"
'2022-11-06 00:16:49.031',"clean and bathe patients or residents","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"help patients use the toilet and dress","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"turn reposition and transfer patients between eds and wheelchairs","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"help patients to move around the facility by doing such tasks as pushing wheelchairs","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"clean equipment and facilities","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"change linens","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"stock supplies","nursing assistants and orderlies"
'2022-11-06 00:16:49.031',"review patients medical history and any referrals or notes from doctors and surgeons or other healthcare workers","physical therapists"
'2022-11-06 00:16:49.031',"diagnose patients functions and movements by observing them stand or walk and by listening to their concerns","physical therapists"
'2022-11-06 00:16:49.031',"develop individualized plans of care for patients outling the patients goals and the expected outcomes of the plans","physical therapists"
'2022-11-06 00:16:49.031',"inspect test and evaluate workplace environments equipment and practices to ensure that they follow safety standards and government regulations","occupational health and safety specialists and technicians"
'2022-11-06 00:16:49.031',"prepare written reports on their findings","occupational health and safety specialists and technicians"
'2022-11-06 00:16:49.031',"design and implement workplace processes and procedures that help protect workers from hazardous work conditions","occupational health and safety specialists and technicians"
'2022-11-06 00:16:49.031',"evaluate programs on workplace health and safety","occupational health and safety specialists and technicians"
'2022-11-06 00:16:49.031',"review patients medical history ask the patients questions and observe them doing tasks","occupational therapists"
'2022-11-06 00:16:49.031',"evaluate a patients condition and needs","occupational therapists"
'2022-11-06 00:16:49.031',"develop a treatment plan for patients identifying specific goals and ty[es of activities that will be used to help the patient work toward those goals","occupational therapists"
'2022-11-06 00:16:49.031',"help patients do therapeutic activities","occupational therapy assistants and aides"
'2022-11-06 00:16:49.031',"lead children who have developmental disabilities in play activities that promote coordination and socialization","occupational therapy assistants and aides"
'2022-11-06 00:16:49.031',"encourage patients to complete activities and tasks","occupational therapy assistants and aides"
'2022-11-06 00:16:49.031',"teach patients how to use special equipment","occupational therapy assistants and aides"
'2022-11-06 00:16:49.031',"receive customers prescriptions for eyeglasses or contact lenses","opticians"
'2022-11-06 00:16:49.031',"measure customers eyes and faces","opticians"
'2022-11-06 00:16:49.031',"help customers choose eyeglass frames and lens treatments","opticians"
'2022-11-06 00:16:49.031',"create work orders for ophthalmic laboratory technicians","opticians"
'2022-11-06 00:16:49.031',"perform vision tests and analyze results","optometrists"
'2022-11-06 00:16:49.031',"diagnose sight problems such as nearsightedness or farsightedness and eye diseases such as glaucoma","optometrists"
'2022-11-06 00:16:49.031',"prescribe eyeglasses contact lenses and other visual aids","optometrists"
'2022-11-06 00:16:49.031',"perform minor surgical procedures to correct or treat visual or eye health issues","optometrists"
'2022-11-06 00:16:49.031',"evaluate and interview patients tod etermine their needs","orthotists and prosthetists"
'2022-11-06 00:16:49.031',"take measurements or impressions of the part of a patients body that will be fitted with a brace or artificial limb","orthotists and prosthetists"
'2022-11-06 00:16:49.031',"design and fabricate orthopedic and prosthetic devices based on physicians prescriptions","orthotists and prosthetists"
'2022-11-06 00:16:49.031',"consult and collaborate with doctors and other healthcare professionals","registered nurses"
'2022-11-06 00:16:49.031',"fill prescriptions verifying instructions from physicians on the proper amounts of medication to give to patients","pharmacists"
'2022-11-06 00:16:49.031',"check whether prescriptions will interact negatively with other drugs that a patient is taking or any medical conditions the patient has","pharmacists"
'2022-11-06 00:16:49.031',"instruct patients on how and when to take a prescribed medicine and inform them about potential side effects from taking the medicine","pharmacists"
'2022-11-06 00:16:49.031',"collect information needed to fill a prescription from customers or health professionals","pharmacy technicians"
'2022-11-06 00:16:49.031',"measure amounts of medication for prescriptions","pharmacy technicians"
'2022-11-06 00:16:49.031',"package and label prescriptions","pharmacy technicians"
'2022-11-06 00:16:49.031',"organize inventory and alert pharmacists to any shortages of medications or supplies","pharmacy technicians"
'2022-11-06 00:16:49.031',"draw blood from patients and blood donors","phlebotomists"
'2022-11-06 00:16:49.031',"talk with patients and donors to help them feel less nervous about having their blood drawn","phlebotomists"
'2022-11-06 00:16:49.031',"verify a patients or donors identity to ensure proper labeling of the blood","phlebotomists"
'2022-11-06 00:16:49.031',"label the drawn blood for testing or processing","phlebotomists"
'2022-11-06 00:16:49.031',"enter patient information into a database","phlebotomists"
'2022-11-06 00:16:49.031',"observe patients before during and after therapy noting the patients status and reporting it to a physical therapist","physical therapist assistants and aides"
'2022-11-06 00:16:49.031',"help patients do specific exercises as part of the plan of care","physical therapist assistants and aides"
'2022-11-06 00:16:49.031',"treat patients using a variety of techniques","physical therapist assistants and aides"
'2022-11-06 00:16:49.031',"prepare operating rooms for surgery","surgical technologists"
'2022-11-06 00:16:49.031',"sterilize equipment and make sure that there are adequate supplies for surgery","surgical technologists"
'2022-11-06 00:16:49.031',"ready patients for surgery","surgical technologists"
'2022-11-06 00:16:49.031',"help surgeons during surgery by passing them instruments and other sterile supplies","surgical technologists"
'2022-11-06 00:16:49.031',"take or review patients medical histories","physician assistants"
'2022-11-06 00:16:49.031',"examine patients","physician assistants"
'2022-11-06 00:16:49.031',"order and interpret diagnostic tests","physician assistants"
'2022-11-06 00:16:49.031',"diagnose a patients injury or illness","physician assistants"
'2022-11-06 00:16:49.031',"give treatment","physician assistants"
'2022-11-06 00:16:49.031',"prescribe medicine","physician assistants"
'2022-11-06 00:16:49.031',"take a patients medical history","physicians and surgeons"
'2022-11-06 00:16:49.031',"update charts and patient information to show current findings and treatments","physicians and surgeons"
'2022-11-06 00:16:49.031',"order tests for nurses or other healthcare staff to perform","physicians and surgeons"
'2022-11-06 00:16:49.031',"review test results to identify any abnormal findings","physicians and surgeons"
'2022-11-06 00:16:49.031',"recommend and design a plan of treatment","physicians and surgeons"
'2022-11-06 00:16:49.031',"identify problems often by using computerized diagnostic equipment","automotive service technicians and mechanics"
'2022-11-06 00:16:49.031',"plan work procedures using charts technical manuals and experience","automotive service technicians and mechanics"
'2022-11-06 00:16:49.031',"test parts and systems to ensure that they work properly","automotive service technicians and mechanics"
'2022-11-06 00:16:49.031',"follow checklists to ensure that all critical parts are examined","automotive service technicians and mechanics"
'2022-11-06 00:16:49.031',"perform basic care and maintenance","automotive service technicians and mechanics"
'2022-11-06 00:16:49.031',"assess the condition of a patients foot ankles or lower legs by reviewing the patients medical history listening to his or her concerns and performing a physical examination","podiatrists"
'2022-11-06 00:16:49.031',"diagnose foot ankle and lower leg problems through physical exams x rays medical laboratory tests and other methods","podiatrists"
'2022-11-06 00:16:49.031',"provide treatment for foot ankle and lower leg ailmets","podiatrists"
'2022-11-06 00:16:49.031',"perform foot and ankle surgeries","podiatrists"
'2022-11-06 00:16:49.031',"coordinate and supervise the work activities of specialists and support staff","compensation managers benefits managers"
'2022-11-06 00:16:49.031',"set the organizations pay and benefits structure","compensation managers benefits managers"
'2022-11-06 00:16:49.031',"determine competitive wage rates to develop or modify compensation plans","compensation managers benefits managers"
'2022-11-06 00:16:49.031',"choose and manage outside partners","compensation managers benefits managers"
'2022-11-06 00:16:49.031',"oversee the distribution of pay and benefits information to the organizations employees","compensation managers benefits managers"
'2022-11-06 00:16:49.031',"observe patients behavior listen to their concerns and record their condition","psychiatric technicians and aides"
'2022-11-06 00:16:49.031',"lead patients in therapeutic and recreational activities","psychiatric technicians and aides"
'2022-11-06 00:16:49.031',"give medications and other treatments to patients following instructions from doctors and other medical professionals","psychiatric technicians and aides"
'2022-11-06 00:16:49.031',"explain treatment plans to the patient and answer questions about treatment","radiation therapists"
'2022-11-06 00:16:49.031',"protect the patients and themselves from improper exposure to radiation","radiation therapists"
'2022-11-06 00:16:49.031',"determine the exact location of the area requiring treatment","radiation therapists"
'2022-11-06 00:16:49.031',"calibrate and operate the machine to treat the patient with radiation","radiation therapists"
'2022-11-06 00:16:49.031',"adjust and maintain imaging equipment","radiologic and mri technologists"
'2022-11-06 00:16:49.031',"precisely follow orders from physicians on what areas of the body to image","radiologic and mri technologists"
'2022-11-06 00:16:49.031',"prepare patients for procedures including taking a medical history and answering questions about the procedure","radiologic and mri technologists"
'2022-11-06 00:16:49.031',"assess patients needs using observation medical records tests and discussions with other healthcare professionals patients families and patients","recreational therapists"
'2022-11-06 00:16:49.031',"develop treatment plans and programs that meet patients needs and interests","recreational therapists"
'2022-11-06 00:16:49.031',"plan and implement interventions to support the client in meeting his or her goals","recreational therapists"
'2022-11-06 00:16:49.031',"assess patients conditions","registered nurses"
'2022-11-06 00:16:49.031',"record patients medical histories and symptoms","registered nurses"
'2022-11-06 00:16:49.031',"observe patients and record observations","registered nurses"
'2022-11-06 00:16:49.031',"administer patients medicines and treatments","registered nurses"
'2022-11-06 00:16:49.031',"setup plans for patients care or contribute information to existing plans","registered nurses"
'2022-11-06 00:16:49.031',"interview and examine patients with breathing or cardiopulmonary disorders","respiratory therapists"
'2022-11-06 00:16:49.031',"consult with physicians to develop patient treatment plans","respiratory therapists"
'2022-11-06 00:16:49.031',"perform diagnostic tests and such as measuring lung capacity","respiratory therapists"
'2022-11-06 00:16:49.031',"treat patients by using a variety of methods including chest physiotherapy and aerosol medications","respiratory therapists"
